id,tag_name,created_at
1,sunset,"2025-03-15 15:00:58"
2,photography,"2025-03-15 15:00:58"
3,sunrise,"2025-03-15 15:00:58"
4,landscape,"2025-03-15 15:00:58"
5,food,"2025-03-15 15:00:58"
6,foodie,"2025-03-15 15:00:58"
7,delicious,"2025-03-15 15:00:58"
8,beauty,"2025-03-15 15:00:58"
9,stunning,"2025-03-15 15:00:58"
10,dreamy,"2025-03-15 15:00:58"
11,lol,"2025-03-15 15:00:58"
12,happy,"2025-03-15 15:00:58"
13,fun,"2025-03-15 15:00:58"
14,style,"2025-03-15 15:00:58"
15,hair,"2025-03-15 15:00:58"
16,fashion,"2025-03-15 15:00:58"
17,party,"2025-03-15 15:00:58"
18,concert,"2025-03-15 15:00:58"
19,drunk,"2025-03-15 15:00:58"
20,beach,"2025-03-15 15:00:58"
21,smile,"2025-03-15 15:00:58"
